W_N	W_M	RPM	M
1000.0	2.0	866.0508422851562	-0.0
1000.0	2.0	1074.49853515625	-0.06741948425769806
1000.0	2.0	1015.572021484375	-0.1630440354347229
1000.0	2.0	1012.1458129882812	-0.22385558485984802
1000.0	2.0	1001.3351440429688	-0.14194385707378387
1000.0	2.0	1015.572021484375	0.8183530569076538
1000.0	2.0	1019.7144775390625	1.9627604484558105
1000.0	2.0	1038.7811279296875	3.4925432205200195
1000.0	2.0	1019.7144775390625	5.812592506408691
1000.0	2.0	1002.6737670898438	9.466289520263672
1000.0	2.0	1001.3351440429688	12.568950653076172
